brand,storeName,county,district,address,phone,hours,officialSourceUrl,gmbUrl,gmbStatus,takeoutAvailable,deliveryAvailable,takeoutProviders,deliveryProviders,otherProviders,providerNames,manualReviewStatus,confidence,verificationNote,checkedAt
迷客夏,臺南善化店,臺南市,善化區,74154 台南市善化區中山路335號,06-585-0713,平日：09:00-22:00假日：09:00-22:00,https://www.milksha.com/store_detail.php?uID=1,https://www.google.com.tw/maps/place/74154 台南市善化區中山路335號,confirmed,True,True,Nidin,Nidin,,Nidin,public_sources_verified,medium,外帶/外送狀態來自公開資料交叉比對；GMB 點餐按鈕供應商仍需 API 或人工複核。,2026-05-28
迷客夏,臺南善化陽光店,臺南市,善化區,臺南市善化區蓮潭里陽光大道202號,06-5835252,平日：09:00-22:00 假日：09:00-22:00,https://www.milksha.com/store_detail.php?uID=1,https://www.google.com.tw/maps/place/臺南市善化區蓮潭里陽光大道202號,confirmed,True,True,Nidin,foodpanda、Uber Eats、Nidin,,Nidin、Uber Eats、foodpanda,public_sources_verified,medium,外帶/外送狀態來自公開資料交叉比對；GMB 點餐按鈕供應商仍需 API 或人工複核。,2026-05-28
迷客夏,臺南中州寮店,臺南市,安南區,臺南市安南區安和路五段41號,06-3560035,9:00-21:00,https://www.milksha.com/store_detail.php?uID=1,https://maps.app.goo.gl/KH8vKPXYEkGjQpV17,confirmed,True,True,Nidin,Nidin,,Nidin,public_sources_verified,medium,外帶/外送狀態來自公開資料交叉比對；GMB 點餐按鈕供應商仍需 API 或人工複核。,2026-05-28
迷客夏,臺南北安店,臺南市,安南區,709041台南市安南區北安路三段102號1樓,06-2457913,08:00-22:00,https://www.milksha.com/store_detail.php?uID=1,https://maps.app.goo.gl/TJhJw67Qzc4LJVFF9,confirmed,True,True,Nidin,Nidin,,Nidin,public_sources_verified,medium,外帶/外送狀態來自公開資料交叉比對；GMB 點餐按鈕供應商仍需 API 或人工複核。,2026-05-28
迷客夏,臺南安和店,臺南市,安南區,70958 台南市安南區安和路一段89號,06-252-6967,平日：0730-2200假日：0730-2200,https://www.milksha.com/store_detail.php?uID=1,https://www.google.com.tw/maps/place/70958 台南市安南區安和路一段89號,confirmed,True,True,Nidin,Nidin,,Nidin,public_sources_verified,medium,外帶/外送狀態來自公開資料交叉比對；GMB 點餐按鈕供應商仍需 API 或人工複核。,2026-05-28
迷客夏,臺南本淵寮店,臺南市,安南區,709021台南市安南區安中路四段10號1樓,06-2470996,09:00-22:00,https://www.milksha.com/store_detail.php?uID=1,https://maps.app.goo.gl/4gGiy5mJfrsYH97C6,confirmed,True,True,Nidin,Nidin,,Nidin,public_sources_verified,medium,外帶/外送狀態來自公開資料交叉比對；GMB 點餐按鈕供應商仍需 API 或人工複核。,2026-05-28
迷客夏,臺南海佃店,臺南市,安南區,70970 台南市安南區海佃路一段248號,06-358-5796,平日：09:00-22:30假日：09:00-23:00,https://www.milksha.com/store_detail.php?uID=1,https://www.google.com.tw/maps/place/70970 台南市安南區海佃路一段248號,confirmed,True,True,Nidin,Uber Eats、Nidin,,Nidin、Uber Eats,public_sources_verified,medium,外帶/外送狀態來自公開資料交叉比對；GMB 點餐按鈕供應商仍需 API 或人工複核。,2026-05-28
迷客夏,臺南健康店,臺南市,安平區,70846 台南市安平區健康三街207號,06-299-0135,"平日：09:00-22:00
假日：09:00-22:00",https://www.milksha.com/store_detail.php?uID=1,https://www.google.com.tw/maps/place/70846 台南市安平區健康三街207號,confirmed,True,True,Nidin,foodpanda、Uber Eats、Nidin,,Nidin、Uber Eats、foodpanda,public_sources_verified,medium,外帶/外送狀態來自公開資料交叉比對；GMB 點餐按鈕供應商仍需 API 或人工複核。,2026-05-28
迷客夏,臺南華平店,臺南市,安平區,70455 台南市安平區華平路515號,06-298-3889,平日：09:00-21:30假日：09:00-21:30,https://www.milksha.com/store_detail.php?uID=1,https://www.google.com.tw/maps/place/70455 台南市安平區華平路515號,confirmed,True,True,Nidin,Nidin,,Nidin,public_sources_verified,medium,外帶/外送狀態來自公開資料交叉比對；GMB 點餐按鈕供應商仍需 API 或人工複核。,2026-05-28
迷客夏,臺南新化店,臺南市,新化區,71243 台南市新化區中山路211號,06-590-0077,平日：08:00-22:00假日：08:00-22:00,https://www.milksha.com/store_detail.php?uID=1,https://www.google.com.tw/maps/place/71243 台南市新化區中山路211號,confirmed,True,True,Nidin,foodpanda、Nidin,,Nidin、foodpanda,public_sources_verified,medium,外帶/外送狀態來自公開資料交叉比對；GMB 點餐按鈕供應商仍需 API 或人工複核。,2026-05-28
迷客夏,臺南新市銘傳店,臺南市,新市區,74441 台南市新市區銘傳街91號,06-589-5227,"平日：09:00-22:00
假日：09:00-22:00",https://www.milksha.com/store_detail.php?uID=1,https://www.google.com.tw/maps/place/74441 台南市新市區銘傳街91號,confirmed,True,True,Nidin,Nidin,,Nidin,public_sources_verified,medium,外帶/外送狀態來自公開資料交叉比對；GMB 點餐按鈕供應商仍需 API 或人工複核。,2026-05-28
迷客夏,臺南新營店,臺南市,新營區,73041 台南市新營區府西路1號,06-632-0986,平日：09:00-22:00假日：09:00-22:00,https://www.milksha.com/store_detail.php?uID=1,https://www.google.com.tw/maps/place/73041 台南市新營區府西路1號,confirmed,True,True,Nidin,Nidin,,Nidin,public_sources_verified,medium,外帶/外送狀態來自公開資料交叉比對；GMB 點餐按鈕供應商仍需 API 或人工複核。,2026-05-28
迷客夏,Milksha Plus 臺南南紡店,臺南市,東區,701041臺南市東區中華東路一段366號B1F,06-2082682,11:00-22:00,https://www.milksha.com/store_detail.php?uID=1,https://share.google/4CUcaaTGydEcKC0Ql,confirmed,,,,,,,needs_review,low,尚無外帶/外送服務判斷，需人工開啟 GMB 或補 API 查核。,2026-05-28
迷客夏,臺南仁和店,臺南市,東區,台南市東區仁和路73號,06-2681055,09:00-22:00,https://www.milksha.com/store_detail.php?uID=1,https://goo.gl/maps/9gHGnFHL5xmnQuVx8,confirmed,True,True,Nidin,foodpanda、Uber Eats、Nidin,,Nidin、Uber Eats、foodpanda,public_sources_verified,medium,外帶/外送狀態來自公開資料交叉比對；GMB 點餐按鈕供應商仍需 API 或人工複核。,2026-05-28
迷客夏,臺南大同店,臺南市,東區,701010台南市東區大同路二段137號1樓,06-2140119,09:00-22:00,https://www.milksha.com/store_detail.php?uID=1,https://maps.app.goo.gl/fQRDp8SfsuphfJ1K8,confirmed,True,True,Nidin,Nidin,,Nidin,public_sources_verified,medium,外帶/外送狀態來自公開資料交叉比對；GMB 點餐按鈕供應商仍需 API 或人工複核。,2026-05-28
迷客夏,臺南崇明店,臺南市,東區,70168 台南市東區崇明路354號,06-267-3131,"平日：09:30-21:30
假日：09:30-22:00",https://www.milksha.com/store_detail.php?uID=1,https://www.google.com.tw/maps/place/70168 台南市東區崇明路354號,confirmed,True,True,Nidin,foodpanda、Uber Eats、Nidin,,Nidin、Uber Eats、foodpanda,public_sources_verified,medium,外帶/外送狀態來自公開資料交叉比對；GMB 點餐按鈕供應商仍需 API 或人工複核。,2026-05-28
迷客夏,臺南市醫店,臺南市,東區,70173 台南市東區崇德路763號,06-260-8557,"平日：09:00-22:00
假日：09:00-22:00",https://www.milksha.com/store_detail.php?uID=1,https://www.google.com.tw/maps/place/70173 台南市東區崇德路763號,confirmed,True,True,Nidin,foodpanda、Uber Eats、Nidin,,Nidin、Uber Eats、foodpanda,public_sources_verified,medium,外帶/外送狀態來自公開資料交叉比對；GMB 點餐按鈕供應商仍需 API 或人工複核。,2026-05-28
迷客夏,臺南東安店,臺南市,東區,70159 台南市東區東安路121號,06-275-5879,"平日：09:00-22:00
假日：09:00-22:00",https://www.milksha.com/store_detail.php?uID=1,https://www.google.com.tw/maps/place/70159 台南市東區東安路121號,confirmed,True,True,Nidin,Nidin,,Nidin,public_sources_verified,medium,外帶/外送狀態來自公開資料交叉比對；GMB 點餐按鈕供應商仍需 API 或人工複核。,2026-05-28
迷客夏,臺南虎尾寮店,臺南市,東區,70163 台南市東區裕信路179號,06-331-1359,"平日：09:00-21:00
假日：09:00-21:00",https://www.milksha.com/store_detail.php?uID=1,https://www.google.com.tw/maps/place/70163 台南市東區裕信路179號,confirmed,True,True,Nidin,foodpanda、Uber Eats、Nidin,,Nidin、Uber Eats、foodpanda,public_sources_verified,medium,外帶/外送狀態來自公開資料交叉比對；GMB 點餐按鈕供應商仍需 API 或人工複核。,2026-05-28
迷客夏,臺南歸仁店,臺南市,歸仁區,71142 臺南市歸仁區中山路一段464號,06-230-6878,"平日：09:00-22:00
假日：09:00-22:00",https://www.milksha.com/store_detail.php?uID=1,https://www.google.com.tw/maps/place/71142 台南巿歸仁區中山路一段464號,confirmed,True,True,Nidin,foodpanda、Nidin,,Nidin、foodpanda,public_sources_verified,medium,外帶/外送狀態來自公開資料交叉比對；GMB 點餐按鈕供應商仍需 API 或人工複核。,2026-05-28
迷客夏,臺南中華店,臺南市,永康區,71055 台南市永康區中華二路195號,06-312-0000,"平日：09:00-22:00
假日：09:00-22:00",https://www.milksha.com/store_detail.php?uID=1,https://www.google.com.tw/maps/place/71055 台南市永康區中華二路195號,confirmed,True,True,foodpanda、Uber Eats、Nidin,foodpanda、Uber Eats、Nidin,lin.ee,Nidin、Uber Eats、foodpanda、lin.ee,public_sources_verified,medium,外帶/外送狀態來自公開資料交叉比對；GMB 點餐按鈕供應商仍需 API 或人工複核。,2026-05-28
迷客夏,臺南崑山店,臺南市,永康區,71080 台南市永康區永華路73號,06-271-0359,平日：08:00-22:00假日：08:00-22:00,https://www.milksha.com/store_detail.php?uID=1,https://www.google.com.tw/maps/place/71080 台南市永康區永華路73號,confirmed,True,True,Nidin,foodpanda、Uber Eats、Nidin,,Nidin、Uber Eats、foodpanda,public_sources_verified,medium,外帶/外送狀態來自公開資料交叉比對；GMB 點餐按鈕供應商仍需 API 或人工複核。,2026-05-28
迷客夏,臺南東橋店,臺南市,永康區,臺南市永康區東橋里東橋十街50號1樓,06-303-9393,平日：9:00-22:00 假日：9:00-22:00,https://www.milksha.com/store_detail.php?uID=1,https://www.google.com.tw/maps/place/臺南市永康區東橋里東橋十街50號1樓,confirmed,True,True,Nidin,foodpanda、Uber Eats、Nidin,,Nidin、Uber Eats、foodpanda,public_sources_verified,medium,外帶/外送狀態來自公開資料交叉比對；GMB 點餐按鈕供應商仍需 API 或人工複核。,2026-05-28
迷客夏,臺南永康中山店,臺南市,永康區,71059 台南市永康區中山路187號,06-202-2666,平日：09:00-22:00假日：09:00-22:00,https://www.milksha.com/store_detail.php?uID=1,https://www.google.com.tw/maps/place/71059 台南市永康區中山路187號,confirmed,True,True,Nidin,foodpanda、Nidin,,Nidin、foodpanda,public_sources_verified,medium,外帶/外送狀態來自公開資料交叉比對；GMB 點餐按鈕供應商仍需 API 或人工複核。,2026-05-28
迷客夏,臺南鹽行店,臺南市,永康區,71072 台南市永康區仁愛街31號,06-253-3589,平日：10:00-22:00假日：10:00-22:00,https://www.milksha.com/store_detail.php?uID=1,https://www.google.com.tw/maps/place/71072 台南市永康區仁愛街31號,confirmed,True,True,Nidin,foodpanda、Uber Eats、Nidin,,Nidin、Uber Eats、foodpanda,public_sources_verified,medium,外帶/外送狀態來自公開資料交叉比對；GMB 點餐按鈕供應商仍需 API 或人工複核。,2026-05-28
迷客夏,臺南關廟店,臺南市,關廟區,718006台南市關廟區南雄路二段16號1樓,06-5950920,07:30-21:00,https://www.milksha.com/store_detail.php?uID=1,https://maps.app.goo.gl/iPB5DLWi9AmxkA6E8,confirmed,True,True,Nidin,Nidin,,Nidin,public_sources_verified,medium,外帶/外送狀態來自公開資料交叉比對；GMB 點餐按鈕供應商仍需 API 或人工複核。,2026-05-28
迷客夏,臺南麻豆店,臺南市,麻豆區,72149 台南市麻豆區興中路170號,06-572-3759,平日：09:00-22:00假日：09:00-22:00,https://www.milksha.com/store_detail.php?uID=1,https://www.google.com.tw/maps/place/72149 台南市麻豆區興中路170號,confirmed,True,True,Nidin,foodpanda、Nidin,,Nidin、foodpanda,public_sources_verified,medium,外帶/外送狀態來自公開資料交叉比對；GMB 點餐按鈕供應商仍需 API 或人工複核。,2026-05-28
